CAGDP9 Real GDP by county and metropolitan area 1/,,,,,,,,,,,,,
(thousands of chained 2012 dollars) ,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,
Metropolitan Statistical Area,,,,,,,,,,,,,
GeoFips,GeoName,LineCode,Description,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
40140,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)",91,Private goods-producing industries 2/,17296490,18429339,19141367,20163170,20750273,21973433,22389175,22569958,23317209,23634443
40140,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)",92,Private services-providing industries 3/,86785752,89170354,89792514,93314366,98130327,104066812,106860623,111537215,114823737,121531132
40900,"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",1,All industry total,101991632,103745146,104794885,108140212,111615293,116822759,119486229,123124799,127055984,132501716
40900,"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",2,  Private industries,76599948,77528377,79052156,81776591,84423619,89256380,92059964,95795208,99700940,104616899
40900,"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",3,"    Agriculture, forestry, fishing and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
40900,"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",6,"    Mining, quarrying, and oil and gas extraction",119047,93094,86135,88797,105892,103386,96679,100686,118154,119221
40900,"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",10,    Utilities,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
40900,"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",11,    Construction,3915345,3727564,3793955,4186597,4350363,4918675,5269753,5586132,6076450,6720817
40900,"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",12,    Manufacturing,5686913,5923034,6328789,6074125,5985663,6295375,6025920,5615325,5758500,5819515
40900,"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",13,      Durable goods manufacturing,4129402,4456718,4743890,4448884,4231221,4193981,3801087,3679781,3747565,3823586
40900,"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",25,      Nondurable goods manufacturing,1568380,1465857,1584899,1624718,1750899,2088071,2205852,1922270,1996322,1982441
40900,"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",34,    Wholesale trade,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
40900,"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",35,    Retail trade,6414969,6444219,6480856,6794610,6800519,7085631,7374260,7770392,7873919,8200732
40900,"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",36,    Transportation and warehousing,2428302,2237144,2213066,2263851,(D),(D),2439332,2521668,2723272,2958398
40900,"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",45,    Information,3210382,3250348,3285571,3276817,2964266,3207092,3225075,3575369,3877897,4095245
40900,"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",50,"    Finance, insurance, real estate, rental, and leasing",22337717,22190596,22192542,23557512,24778673,25998757,26292728,27684899,28947044,30358534
40900,"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",51,      Finance and insurance,5993691,5695389,5780073,5767886,6169636,6475459,6013349,6259603,6117164,5996051
40900,"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",56,      Real estate and rental and leasing,16349756,16494047,16412469,17793012,18609453,19523633,20304045,21455462,22897553,24473350
40900,"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",59,    Professional and business services,12033563,12364655,12591492,12590054,13254830,13519663,14325317,14889807,15458116,16132869
40900,"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",60,"      Professional, scientific, and technical services",7755857,7987304,7977185,7777443,8098590,8251668,8470896,8626557,9009444,9511498
40900,"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",64,      Management of companies and enterprises,1399945,1401313,1386300,1552538,1609414,1670780,1810231,2001208,2055090,2235151
40900,"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",65,      Administrative and support and waste management and remediation services,2877771,2976173,3228007,3260541,3545700,3597494,4037109,4257579,4389032,4401560
40900,"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",68,"    Educational services, health care, and social assistance",8939550,9363467,9748813,9979191,10196826,10898331,11242557,11638133,12195834,12969872
40900,"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",69,      Educational services,904006,930873,916852,819083,813329,820251,791804,807875,802758,844924
40900,"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",70,      Health care and social assistance,8036291,8433001,8831961,9161349,9385475,10082428,10458155,10838660,11405161,12138543
40900,"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",75,"    Arts, entertainment, recreation, accommodation, and food services",3003719,3031451,3196759,3361051,3601116,3880852,4068890,4291868,4373637,4546691
40900,"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",76,"      Arts, entertainment, and recreation",673065,649244,764074,770571,793763,845572,883603,987961,976552,1021103
40900,"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",79,      Accommodation and food services,2330869,2382679,2432685,2590234,2806535,3034150,3183999,3305261,3396636,3525532
40900,"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",82,    Other services (except government and government enterprises),2507790,2469799,2463058,2453053,2550786,2549923,2574472,2630988,2749343,2804946
40900,"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",83,Government and government enterprises,25391087,26217133,25742729,26365597,27194174,27601080,27491099,27428543,27489960,28054251
40900,"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",,Addenda:,,,,,,,,,,
40900,"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",87,Natural resources and mining,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
40900,"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",88,Trade,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
40900,"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",89,Transportation and utilities,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
40900,"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",90,Manufacturing and information,8899026,9174407,9614360,9350765,8952309,9501990,9242186,9142366,9569122,9830252
40900,"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",91,Private goods-producing industries 2/,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
40900,"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",92,Private services-providing industries 3/,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
41620,"Salt Lake City, UT (Metropolitan Statistical Area)",1,All industry total,64807283,67666834,69285847,70426257,72476710,75298619,78243444,80547958,85198816,88155402
41620,"Salt Lake City, UT (Metropolitan Statistical Area)",2,  Private industries,56681283,59368004,61155438,62385493,64270561,67019650,69607849,71605976,76065332,78831221
41620,"Salt Lake City, UT (Metropolitan Statistical Area)",3,"    Agriculture, forestry, fishing and hunting",26193,26952,17256,16545,12353,49865,(D),30599,43221,24571
41620,"Salt Lake City, UT (Metropolitan Statistical Area)",6,"    Mining, quarrying, and oil and gas extraction",1413431,1448837,1258265,1194439,1308679,936142,895687,921042,1000050,1071069
41620,"Salt Lake City, UT (Metropolitan Statistical Area)",10,    Utilities,(D),(D),235925,(D),239957,268951,268555,324057,424952,456820
41620,"Salt Lake City, UT (Metropolitan Statistical Area)",11,    Construction,2808640,2901608,3162795,3186700,3406630,3713891,3823094,3873269,4294097,4533979
41620,"Salt Lake City, UT (Metropolitan Statistical Area)",12,    Manufacturing,8941957,9243692,7953800,7994494,8003299,8277339,7964560,8232589,8522161,8702361
41620,"Salt Lake City, UT (Metropolitan Statistical Area)",13,      Durable goods manufacturing,5600750,5913206,5388033,5079117,4875467,5215850,4990723,5187983,5333337,5466618
